,sep,sep2,dT,peak,mult,bl1,bl2
0, 91_107, 91_107, 0.0, 12127.9726, 49, 233.752033859, 233.752033859
1, 20_196, 20_196, 0.0, 12127.9726, 100, 198.22334205, 198.22334205
2, 20_190, 20_190, 0.0, 12127.9726, 36, 139.275123407, 139.275123407
3, 20_191, 20_191, 0.0, 12127.9726, 36, 140.79730111, 140.79730111
4, 20_192, 20_192, 0.0, 12127.9726, 16, 143.793323906, 143.793323906
5, 20_193, 20_193, 0.0, 12127.9726, 16, 226.809641182, 226.809641182
6, 20_76, 20_76, 0.0, 12127.9726, 4, 187.729734814, 187.729734814
7, 20_77, 20_77, 0.0, 12127.9726, 16, 174.183160304, 174.183160304
8, 20_197, 20_197, 0.0, 12127.9726, 100, 189.987087281, 189.987087281
9, 20_79, 20_79, 0.0, 12127.9726, 121, 147.69351148, 147.69351148
10, 9_231, 9_231, 0.0, 12127.9726, 1, 187.729734814, 187.729734814
11, 5_102, 5_102, 0.0, 12127.9726, 361, 89.2074735285, 89.2074735285
12, 21_59, 21_59, 0.0, 12127.9726, 225, 183.712637925, 183.712637925
13, 9_232, 9_232, 0.0, 12127.9726, 1, 240.936865866, 240.936865866
14, 0_175, 0_175, 0.0, 12127.9726, 144, 209.718891217, 209.718891217
15, 20_64, 20_64, 0.0, 12127.9726, 169, 135.65696935, 135.65696935
16, 20_148, 20_148, 0.0, 12127.9726, 484, 184.869287155, 184.869287155
17, 98_232, 98_232, 0.0, 12127.9726, 16, 119.506150469, 119.506150469
18, 1_91, 1_91, 0.0, 12127.9726, 1764, 118.010395022, 118.010395022
19, 4_189, 4_189, 0.0, 12127.9726, 100, 167.95289022, 167.95289022
20, 91_229, 91_229, 0.0, 12127.9726, 16, 215.071429995, 215.071429995
21, 2_220, 2_220, 0.0, 12127.9726, 225, 196.060840897, 196.060840897
22, 91_123, 91_123, 0.0, 12127.9726, 196, 211.741949867, 211.741949867
23, 7_178, 7_178, 0.0, 12127.9726, 36, 199.295793567, 199.295793567
24, 2_20, 2_20, 0.0, 12127.9726, 784, 117.103771644, 117.103771644
25, 2_21, 2_21, 0.0, 12127.9726, 13689, 50.575883581, 50.575883581
26, 100_220, 100_220, 0.0, 12127.9726, 16, 124.742454682, 124.742454682
27, 20_199, 20_199, 0.0, 12127.9726, 100, 176.009242182, 176.009242182
28, 60_101, 60_101, 0.0, 12127.9726, 576, 127.558666242, 127.558666242
29, 60_100, 60_100, 0.0, 12127.9726, 676, 113.404820591, 113.404820591
30, 0_218, 0_218, 0.0, 12127.9726, 9, 231.00011544, 231.00011544
31, 20_203, 20_203, 0.0, 12127.9726, 100, 160.821059981, 160.821059981
32, 60_108, 60_108, 0.0, 12127.9726, 9, 227.279064881, 227.279064881
33, 20_149, 20_149, 0.0, 12127.9726, 625, 174.183160304, 174.183160304
34, 0_236, 0_236, 0.0, 12127.9726, 49, 216.716989028, 216.716989028
35, 3_21, 3_21, 0.0, 12127.9726, 9025, 63.6399245757, 63.6399245757
36, 3_20, 3_20, 0.0, 12127.9726, 784, 102.547029861, 102.547029861
37, 20_230, 20_230, 0.0, 12127.9726, 9, 185.444906464, 185.444906464
38, 32_46, 32_46, 0.0, 12127.9726, 36, 184.869287155, 184.869287155
39, 87_91, 87_91, 0.0, 12127.9726, 484, 198.22334205, 198.22334205
40, 20_234, 20_234, 0.0, 12127.9726, 1, 226.339243909, 226.339243909
41, 20_237, 20_237, 0.0, 12127.9726, 1, 208.700007986, 208.700007986
42, 20_236, 20_236, 0.0, 12127.9726, 1, 213.745861558, 213.745861558
43, 20_231, 20_231, 0.0, 12127.9726, 1, 177.616665885, 177.616665885
44, 20_171, 20_171, 0.0, 12127.9726, 441, 141.803008901, 141.803008901
45, 0_237, 0_237, 0.0, 12127.9726, 36, 221.580354123, 221.580354123
46, 20_232, 20_232, 0.0, 12127.9726, 1, 241.819960577, 241.819960577
47, 0_68, 0_68, 0.0, 12127.9726, 2304, 102.2, 102.2
48, 0_69, 0_69, 0.0, 12127.9726, 1369, 114.029645268, 114.029645268
49, 0_120, 0_120, 0.0, 12127.9726, 1156, 146.243130893, 146.243130893
50, 0_62, 0_62, 0.0, 12127.9726, 7056, 63.6399245757, 63.6399245757
51, 0_63, 0_63, 0.0, 12127.9726, 7921, 63.6399245757, 63.6399245757
52, 20_238, 20_238, 0.0, 12127.9726, 1, 204.573735688, 204.573735688
53, 20_239, 20_239, 0.0, 12127.9726, 1, 201.423566976, 201.423566976
54, 0_174, 0_174, 0.0, 12127.9726, 196, 198.760291138, 198.760291138
55, 33_137, 33_137, 0.0, 12127.9726, 169, 147.69351148, 147.69351148
56, 4_162, 4_162, 0.0, 12127.9726, 441, 167.95289022, 167.95289022
57, 20_168, 20_168, 0.0, 12127.9726, 441, 160.821059981, 160.821059981
58, 20_169, 20_169, 0.0, 12127.9726, 441, 153.357925564, 153.357925564
59, 31_230, 31_230, 0.0, 12127.9726, 9, 172.955061601, 172.955061601
60, 20_142, 20_142, 0.0, 12127.9726, 1089, 105.282097244, 105.282097244
61, 20_130, 20_130, 0.0, 12127.9726, 676, 182.54866018, 182.54866018
62, 20_163, 20_163, 0.0, 12127.9726, 121, 209.718891217, 209.718891217
63, 20_160, 20_160, 0.0, 12127.9726, 361, 119.506150469, 119.506150469
64, 20_143, 20_143, 0.0, 12127.9726, 1024, 110.227582755, 110.227582755
65, 20_166, 20_166, 0.0, 12127.9726, 400, 178.414947057, 178.414947057
66, 31_188, 31_188, 0.0, 12127.9726, 225, 135.65696935, 135.65696935
67, 20_164, 20_164, 0.0, 12127.9726, 225, 198.760291138, 198.760291138
68, 20_165, 20_165, 0.0, 12127.9726, 324, 188.296609989, 188.296609989
69, 1_162, 1_162, 0.0, 12127.9726, 1521, 149.842762032, 149.842762032
70, 7_56, 7_56, 0.0, 12127.9726, 225, 51.2735149306, 51.2735149306
71, 0_61, 0_61, 0.0, 12127.9726, 5929, 66.9056051464, 66.9056051464
72, 20_63, 20_63, 0.0, 12127.9726, 81, 149.129786875, 149.129786875
73, 2_145, 2_145, 0.0, 12127.9726, 1225, 146.243130893, 146.243130893
74, 5_56, 5_56, 0.0, 12127.9726, 784, 68.9969081433, 68.9969081433
75, 20_61, 20_61, 0.0, 12127.9726, 16, 176.6137405, 176.6137405
76, 91_156, 91_156, 0.0, 12127.9726, 441, 184.869287155, 184.869287155
77, 2_120, 2_120, 0.0, 12127.9726, 1156, 125.876500322, 125.876500322
78, 20_60, 20_60, 0.0, 12127.9726, 9, 190.547246984, 190.547246984
79, 31_98, 31_98, 0.0, 12127.9726, 2704, 118.910106103, 118.910106103
80, 1_20, 1_20, 0.0, 12127.9726, 784, 131.670092782, 131.670092782
81, 31_99, 31_99, 0.0, 12127.9726, 2704, 107.618276019, 107.618276019
82, 31_96, 31_96, 0.0, 12127.9726, 2704, 143.298336813, 143.298336813
83, 31_97, 31_97, 0.0, 12127.9726, 2704, 130.858142022, 130.858142022
84, 31_94, 31_94, 0.0, 12127.9726, 1681, 169.2172962, 169.2172962
85, 31_95, 31_95, 0.0, 12127.9726, 2209, 156.113078675, 156.113078675
86, 20_65, 20_65, 0.0, 12127.9726, 289, 122.442857421, 122.442857421
87, 10_217, 10_217, 0.0, 12127.9726, 36, 223.018683821, 223.018683821
88, 1_21, 1_21, 0.0, 12127.9726, 19881, 38.6279691415, 38.6279691415
89, 3_145, 3_145, 0.0, 12127.9726, 784, 153.357925564, 153.357925564
90, 9_56, 9_56, 0.0, 12127.9726, 361, 46.9324337035, 46.9324337035
91, 0_147, 0_147, 0.0, 12127.9726, 3481, 130.858142022, 130.858142022
92, 91_105, 91_105, 0.0, 12127.9726, 324, 204.573735688, 204.573735688
93, 0_145, 0_145, 0.0, 12127.9726, 2401, 135.65696935, 135.65696935
94, 45_60, 45_60, 0.0, 12127.9726, 9, 199.295793567, 199.295793567
95, 4_70, 4_70, 0.0, 12127.9726, 961, 83.0191142649, 83.0191142649
96, 4_75, 4_75, 0.0, 12127.9726, 100, 127.279849151, 127.279849151
97, 8_75, 8_75, 0.0, 12127.9726, 4, 177.616665885, 177.616665885
98, 7_120, 7_120, 0.0, 12127.9726, 324, 97.2115905298, 97.2115905298
