,sep,sep2,dT,peak,mult,bl1,bl2
0, 1_31, 1_31, 0.0, 12127.9726, 1156, 125.876500322, 125.876500322
1, 0_19, 0_19, 0.0, 12127.9726, 1089, 124.742454682, 124.742454682
2, 0_10, 0_10, 0.0, 12127.9726, 41616, 14.6, 14.6
3, 0_5, 0_5, 0.0, 12127.9726, 10609, 73.0, 73.0
4, 0_11, 0_11, 0.0, 12127.9726, 43681, 14.6, 14.6
5, 0_24, 0_24, 0.0, 12127.9726, 22801, 38.6279691415, 38.6279691415
6, 91_237, 91_237, 0.0, 12127.9726, 36, 179.407803621, 179.407803621
7, 0_25, 0_25, 0.0, 12127.9726, 16129, 50.575883581, 50.575883581
8, 0_21, 0_21, 0.0, 12127.9726, 27889, 29.2, 29.2
9, 33_100, 33_100, 0.0, 12127.9726, 576, 109.581081092, 109.581081092
10, 0_2, 0_2, 0.0, 12127.9726, 32761, 29.2, 29.2
11, 0_20, 0_20, 0.0, 12127.9726, 784, 146.243130893, 146.243130893
12, 20_167, 20_167, 0.0, 12127.9726, 441, 169.2172962, 169.2172962
13, 0_36, 0_36, 0.0, 12127.9726, 21609, 43.8, 43.8
14, 9_33, 9_33, 0.0, 12127.9726, 16, 157.923145865, 157.923145865
15, 1_20, 1_20, 0.0, 12127.9726, 784, 131.670092782, 131.670092782
16, 0_37, 0_37, 0.0, 12127.9726, 15376, 52.6410486218, 52.6410486218
17, 0_34, 0_34, 0.0, 12127.9726, 19321, 38.6279691415, 38.6279691415
18, 33_101, 33_101, 0.0, 12127.9726, 400, 122.442857421, 122.442857421
19, 0_23, 0_23, 0.0, 12127.9726, 31329, 29.2, 29.2
20, 91_186, 91_186, 0.0, 12127.9726, 225, 165.824123697, 165.824123697
21, 91_135, 91_135, 0.0, 12127.9726, 576, 133.811210293, 133.811210293
22, 31_155, 31_155, 0.0, 12127.9726, 729, 113.404820591, 113.404820591
23, 0_54, 0_54, 0.0, 12127.9726, 2601, 101.151767162, 101.151767162
24, 91_123, 91_123, 0.0, 12127.9726, 196, 211.741949867, 211.741949867
25, 0_46, 0_46, 0.0, 12127.9726, 9801, 58.4, 58.4
26, 20_24, 20_24, 0.0, 12127.9726, 324, 118.010395022, 118.010395022
27, 4_207, 4_207, 0.0, 12127.9726, 225, 192.771609251, 192.771609251
28, 20_25, 20_25, 0.0, 12127.9726, 361, 103.581143715, 103.581143715
29, 0_26, 0_26, 0.0, 12127.9726, 11025, 63.6399245757, 63.6399245757
