,sep,sep2,dT,peak,mult,bl1,bl2
206, 0_129, 0_129, 0.0, 12127.9726, 3844, 169.2172962, 169.2172962
207, 22_188, 22_188, 0.0, 12127.9726, 256, 133.811210293, 133.811210293
208, 47_161, 47_161, 0.0, 12127.9726, 4356, 157.472579624, 157.472579624
209, 3_47, 3_47, 0.0, 12127.9726, 3844, 107.618276019, 107.618276019
210, 76_161, 76_161, 0.0, 12127.9726, 5625, 130.858142022, 130.858142022
211, 5_226, 5_226, 0.0, 12127.9726, 441, 166.03822853, 166.03822853
212, 0_78, 0_78, 0.0, 12127.9726, 3844, 171.096386091, 171.096386091
213, 127_164, 127_164, 0.0, 12127.9726, 1296, 55.2747078991, 55.2747078991
214, 127_158, 127_158, 0.0, 12127.9726, 4761, 135.65696935, 135.65696935
215, 2_34, 2_34, 0.0, 12127.9726, 3721, 125.876500322, 125.876500322
216, 36_160, 36_160, 0.0, 12127.9726, 3721, 97.2115905298, 97.2115905298
217, 146_158, 146_158, 0.0, 12127.9726, 3721, 125.876500322, 125.876500322
218, 36_157, 36_157, 0.0, 12127.9726, 4096, 93.864867407, 93.864867407
219, 0_218, 0_218, 0.0, 12127.9726, 4225, 168.586278603, 168.586278603
220, 0_147, 0_147, 0.0, 12127.9726, 3721, 160.156964673, 160.156964673
221, 22_266, 22_266, 0.0, 12127.9726, 16, 269.342631853, 269.342631853
222, 0_220, 0_220, 0.0, 12127.9726, 3721, 171.096386091, 171.096386091
223, 34_163, 34_163, 0.0, 12127.9726, 3969, 149.842762032, 149.842762032
224, 0_49, 0_49, 0.0, 12127.9726, 2704, 178.414947057, 178.414947057
225, 1_281, 1_281, 0.0, 12127.9726, 729, 221.098831596, 221.098831596
226, 0_196, 0_196, 0.0, 12127.9726, 3600, 164.101228921, 164.101228921
227, 0_202, 0_202, 0.0, 12127.9726, 4356, 160.156964673, 160.156964673
228, 36_260, 36_260, 0.0, 12127.9726, 225, 208.700007986, 208.700007986
229, 23_155, 23_155, 0.0, 12127.9726, 3600, 117.103771644, 117.103771644
230, 23_163, 23_163, 0.0, 12127.9726, 2704, 124.171548002, 124.171548002
231, 0_122, 0_122, 0.0, 12127.9726, 3600, 105.282097244, 105.282097244
232, 109_162, 109_162, 0.0, 12127.9726, 3364, 92.7224532319, 92.7224532319
233, 146_156, 146_156, 0.0, 12127.9726, 3969, 154.74163413, 154.74163413
234, 50_80, 50_80, 0.0, 12127.9726, 441, 219.162162184, 219.162162184
235, 0_67, 0_67, 0.0, 12127.9726, 19881, 63.6399245757, 63.6399245757
236, 61_160, 61_160, 0.0, 12127.9726, 4761, 156.113078675, 156.113078675
237, 3_36, 3_36, 0.0, 12127.9726, 14161, 75.8638253715, 75.8638253715
238, 61_158, 61_158, 0.0, 12127.9726, 3364, 181.377212828, 181.377212828
239, 0_118, 0_118, 0.0, 12127.9726, 3600, 105.282097244, 105.282097244
240, 34_161, 34_161, 0.0, 12127.9726, 3364, 171.096386091, 171.096386091
241, 165_166, 165_166, 0.0, 12127.9726, 100, 16.8586278603, 16.8586278603
242, 109_156, 109_156, 0.0, 12127.9726, 3364, 174.183160304, 174.183160304
243, 6_76, 6_76, 0.0, 12127.9726, 1600, 73.48505517, 73.48505517
244, 149_155, 149_155, 0.0, 12127.9726, 729, 212.746265145, 212.746265145
245, 50_156, 50_156, 0.0, 12127.9726, 3025, 83.0191142649, 83.0191142649
246, 92_162, 92_162, 0.0, 12127.9726, 4096, 105.619000816, 105.619000816
247, 155_300, 155_300, 0.0, 12127.9726, 144, 165.824123697, 165.824123697
248, 5_47, 5_47, 0.0, 12127.9726, 2601, 80.4105299904, 80.4105299904
249, 127_160, 127_160, 0.0, 12127.9726, 3844, 107.618276019, 107.618276019
250, 81_291, 81_291, 0.0, 12127.9726, 36, 226.339243909, 226.339243909
251, 4_116, 4_116, 0.0, 12127.9726, 196, 154.511876566, 154.511876566
252, 0_99, 0_99, 0.0, 12127.9726, 6561, 95.7386024548, 95.7386024548
253, 10_281, 10_281, 0.0, 12127.9726, 1, 271.70648379, 271.70648379
254, 76_155, 76_155, 0.0, 12127.9726, 1600, 209.718891217, 209.718891217
255, 47_159, 47_159, 0.0, 12127.9726, 3249, 181.377212828, 181.377212828
256, 0_238, 0_238, 0.0, 12127.9726, 2601, 184.869287155, 184.869287155
257, 0_130, 0_130, 0.0, 12127.9726, 3249, 181.377212828, 181.377212828
258, 0_222, 0_222, 0.0, 12127.9726, 2401, 178.414947057, 178.414947057
259, 36_161, 36_161, 0.0, 12127.9726, 3136, 102.547029861, 102.547029861
260, 36_154, 36_154, 0.0, 12127.9726, 169, 251.329292629, 251.329292629
261, 0_213, 0_213, 0.0, 12127.9726, 225, 246.187922802, 246.187922802
262, 3_50, 3_50, 0.0, 12127.9726, 8649, 88.8083329424, 88.8083329424
263, 22_165, 22_165, 0.0, 12127.9726, 3025, 146.243130893, 146.243130893
264, 22_164, 22_164, 0.0, 12127.9726, 3025, 154.74163413, 154.74163413
265, 155_166, 155_166, 0.0, 12127.9726, 3025, 160.821059981, 160.821059981
266, 50_157, 50_157, 0.0, 12127.9726, 3249, 80.4105299904, 80.4105299904
267, 155_259, 155_259, 0.0, 12127.9726, 100, 179.407803621, 179.407803621
268, 156_166, 156_166, 0.0, 12127.9726, 3025, 146.243130893, 146.243130893
269, 5_266, 5_266, 0.0, 12127.9726, 324, 227.279064881, 227.279064881
270, 0_117, 0_117, 0.0, 12127.9726, 3025, 110.227582755, 110.227582755
271, 0_164, 0_164, 0.0, 12127.9726, 4225, 146.243130893, 146.243130893
272, 0_167, 0_167, 0.0, 12127.9726, 2916, 164.101228921, 164.101228921
273, 0_127, 0_127, 0.0, 12127.9726, 4761, 146.243130893, 146.243130893
274, 0_20, 0_20, 0.0, 12127.9726, 2209, 124.742454682, 124.742454682
275, 0_234, 0_234, 0.0, 12127.9726, 3025, 182.54866018, 182.54866018
276, 4_61, 4_61, 0.0, 12127.9726, 3364, 92.7224532319, 92.7224532319
277, 155_301, 155_301, 0.0, 12127.9726, 100, 177.616665885, 177.616665885
278, 34_243, 34_243, 0.0, 12127.9726, 441, 166.03822853, 166.03822853
279, 34_160, 34_160, 0.0, 12127.9726, 2916, 182.54866018, 182.54866018
280, 22_162, 22_162, 0.0, 12127.9726, 2704, 174.183160304, 174.183160304
281, 34_162, 34_162, 0.0, 12127.9726, 3721, 160.156964673, 160.156964673
282, 0_166, 0_166, 0.0, 12127.9726, 3025, 154.74163413, 154.74163413
283, 6_207, 6_207, 0.0, 12127.9726, 324, 149.129786875, 149.129786875
284, 0_109, 0_109, 0.0, 12127.9726, 5329, 144.04017958, 144.04017958
285, 146_159, 146_159, 0.0, 12127.9726, 3364, 111.509341911, 111.509341911
286, 11_64, 11_64, 0.0, 12127.9726, 1764, 192.771609251, 192.771609251
287, 0_34, 0_34, 0.0, 12127.9726, 3969, 154.74163413, 154.74163413
288, 92_155, 92_155, 0.0, 12127.9726, 2025, 198.760291138, 198.760291138
289, 8_109, 8_109, 0.0, 12127.9726, 900, 84.2931393017, 84.2931393017
290, 164_166, 164_166, 0.0, 12127.9726, 361, 30.3923235922, 30.3923235922
291, 65_225, 65_225, 0.0, 12127.9726, 256, 174.183160304, 174.183160304
292, 4_36, 4_36, 0.0, 12127.9726, 9025, 88.8083329424, 88.8083329424
293, 146_160, 146_160, 0.0, 12127.9726, 2916, 97.2115905298, 97.2115905298
294, 0_79, 0_79, 0.0, 12127.9726, 2916, 184.869287155, 184.869287155
295, 23_35, 23_35, 0.0, 12127.9726, 1296, 182.54866018, 182.54866018
