,sep,sep2,dT,peak,mult,bl1,bl2
755, 0_28, 0_28, 0.0, 12127.9726, 21609, 63.6399245757, 63.6399245757
756, 0_29, 0_29, 0.0, 12127.9726, 14400, 77.2559382831, 77.2559382831
757, 36_97, 36_97, 0.0, 12127.9726, 625, 221.580354123, 221.580354123
758, 6_81, 6_81, 0.0, 12127.9726, 400, 151.727650743, 151.727650743
759, 9_50, 9_50, 0.0, 12127.9726, 144, 168.375413882, 168.375413882
760, 7_308, 7_308, 0.0, 12127.9726, 16, 264.954134396, 264.954134396
761, 7_306, 7_306, 0.0, 12127.9726, 9, 229.147143411, 229.147143411
762, 5_319, 5_319, 0.0, 12127.9726, 1, 251.753000644, 251.753000644
763, 1_23, 1_23, 0.0, 12127.9726, 42849, 38.6279691415, 38.6279691415
764, 0_137, 0_137, 0.0, 12127.9726, 1369, 119.506150469, 119.506150469
765, 1_22, 1_22, 0.0, 12127.9726, 3025, 146.243130893, 146.243130893
766, 4_215, 4_215, 0.0, 12127.9726, 784, 197.145056578, 197.145056578
767, 155_259, 155_259, 0.0, 12127.9726, 100, 179.407803621, 179.407803621
768, 155_258, 155_258, 0.0, 12127.9726, 225, 165.824123697, 165.824123697
769, 155_257, 155_257, 0.0, 12127.9726, 400, 152.42847503, 152.42847503
770, 155_256, 155_256, 0.0, 12127.9726, 625, 139.275123407, 139.275123407
771, 2_266, 2_266, 0.0, 12127.9726, 900, 212.746265145, 212.746265145
772, 2_261, 2_261, 0.0, 12127.9726, 225, 211.741949867, 211.741949867
773, 0_139, 0_139, 0.0, 12127.9726, 1849, 114.029645268, 114.029645268
774, 2_319, 2_319, 0.0, 12127.9726, 1, 270.132880881, 270.132880881
775, 0_21, 0_21, 0.0, 12127.9726, 729, 139.275123407, 139.275123407
776, 0_20, 0_20, 0.0, 12127.9726, 2209, 124.742454682, 124.742454682
777, 0_23, 0_23, 0.0, 12127.9726, 57600, 29.2, 29.2
778, 23_243, 23_243, 0.0, 12127.9726, 441, 199.295793567, 199.295793567
779, 1_295, 1_295, 0.0, 12127.9726, 361, 232.838341631, 232.838341631
780, 3_98, 3_98, 0.0, 12127.9726, 729, 129.767638493, 129.767638493
781, 17_155, 17_155, 0.0, 12127.9726, 225, 187.729734814, 187.729734814
782, 3_92, 3_92, 0.0, 12127.9726, 3844, 107.618276019, 107.618276019
783, 5_226, 5_226, 0.0, 12127.9726, 441, 166.03822853, 166.03822853
784, 7_277, 7_277, 0.0, 12127.9726, 100, 201.423566976, 201.423566976
785, 22_158, 22_158, 0.0, 12127.9726, 1156, 219.64793041, 219.64793041
786, 22_159, 22_159, 0.0, 12127.9726, 1600, 207.676126055, 207.676126055
787, 22_156, 22_156, 0.0, 12127.9726, 361, 244.450103975, 244.450103975
788, 22_157, 22_157, 0.0, 12127.9726, 729, 231.921049785, 231.921049785
789, 22_155, 22_155, 0.0, 12127.9726, 100, 257.197693095, 257.197693095
790, 49_98, 49_98, 0.0, 12127.9726, 36, 232.838341631, 232.838341631
791, 8_281, 8_281, 0.0, 12127.9726, 36, 255.53475954, 255.53475954
792, 81_243, 81_243, 0.0, 12127.9726, 121, 186.018744575, 186.018744575
793, 0_27, 0_27, 0.0, 12127.9726, 30976, 50.575883581, 50.575883581
794, 0_24, 0_24, 0.0, 12127.9726, 58081, 25.2879417905, 25.2879417905
795, 0_25, 0_25, 0.0, 12127.9726, 57600, 29.2, 29.2
796, 0_22, 0_22, 0.0, 12127.9726, 3025, 160.821059981, 160.821059981
797, 0_138, 0_138, 0.0, 12127.9726, 1681, 115.883907425, 115.883907425
798, 0_136, 0_136, 0.0, 12127.9726, 961, 124.742454682, 124.742454682
799, 5_135, 5_135, 0.0, 12127.9726, 36, 179.407803621, 179.407803621
