,sep,sep2,dT,peak,mult
66, 6_34, 6_34, 0.0, 12127.9726, 9, 122.442857421, 122.442857421
67, 2_94, 2_94, 0.0, 12127.9726, 144, 131.670092782, 131.670092782
68, 15_66, 15_66, 0.0, 12127.9726, 1, 122.442857421, 122.442857421
69, 28_83, 28_83, 0.0, 12127.9726, 225, 102.2, 102.2
70, 5_57, 5_57, 0.0, 12127.9726, 25, 135.65696935, 135.65696935
71, 14_75, 14_75, 0.0, 12127.9726, 225, 111.509341911, 111.509341911
72, 0_98, 0_98, 0.0, 12127.9726, 324, 121.569294369, 121.569294369
73, 14_63, 14_63, 0.0, 12127.9726, 289, 88.0046210908, 88.0046210908
74, 14_74, 14_74, 0.0, 12127.9726, 225, 121.569294369, 121.569294369
75, 14_108, 14_108, 0.0, 12127.9726, 36, 138.764020313, 138.764020313
76, 44_57, 44_57, 0.0, 12127.9726, 36, 164.101228921, 164.101228921
77, 26_83, 26_83, 0.0, 12127.9726, 625, 81.2893596973, 81.2893596973
78, 27_70, 27_70, 0.0, 12127.9726, 576, 88.8083329424, 88.8083329424
79, 14_87, 14_87, 0.0, 12127.9726, 144, 125.876500322, 125.876500322
80, 14_86, 14_86, 0.0, 12127.9726, 144, 135.65696935, 135.65696935
81, 14_85, 14_85, 0.0, 12127.9726, 144, 146.243130893, 146.243130893
82, 14_84, 14_84, 0.0, 12127.9726, 81, 157.472579624, 157.472579624
83, 23_34, 23_34, 0.0, 12127.9726, 196, 135.65696935, 135.65696935
84, 14_83, 14_83, 0.0, 12127.9726, 25, 169.2172962, 169.2172962
85, 0_15, 0_15, 0.0, 12127.9726, 6084, 29.2, 29.2
86, 0_16, 0_16, 0.0, 12127.9726, 6889, 25.2879417905, 25.2879417905
87, 30_31, 30_31, 0.0, 12127.9726, 25, 16.8586278603, 16.8586278603
88, 14_80, 14_80, 0.0, 12127.9726, 36, 84.2931393017, 84.2931393017
89, 22_53, 22_53, 0.0, 12127.9726, 64, 46.9324337035, 46.9324337035
90, 14_109, 14_109, 0.0, 12127.9726, 36, 132.477067198, 132.477067198
91, 14_106, 14_106, 0.0, 12127.9726, 36, 154.74163413, 154.74163413
92, 14_107, 14_107, 0.0, 12127.9726, 36, 146.243130893, 146.243130893
93, 3_15, 3_15, 0.0, 12127.9726, 2116, 63.6399245757, 63.6399245757
94, 45_69, 45_69, 0.0, 12127.9726, 4, 167.95289022, 167.95289022
95, 29_70, 29_70, 0.0, 12127.9726, 144, 114.029645268, 114.029645268
96, 24_56, 24_56, 0.0, 12127.9726, 25, 146.97011034, 146.97011034
97, 45_66, 45_66, 0.0, 12127.9726, 81, 124.742454682, 124.742454682
98, 28_57, 28_57, 0.0, 12127.9726, 676, 88.8083329424, 88.8083329424
99, 1_7, 1_7, 0.0, 12127.9726, 7396, 25.2879417905, 25.2879417905
100, 3_14, 3_14, 0.0, 12127.9726, 36, 59.0051975112, 59.0051975112
101, 14_104, 14_104, 0.0, 12127.9726, 9, 174.183160304, 174.183160304
102, 6_94, 6_94, 0.0, 12127.9726, 1, 166.03822853, 166.03822853
103, 14_101, 14_101, 0.0, 12127.9726, 64, 113.404820591, 113.404820591
104, 14_100, 14_100, 0.0, 12127.9726, 81, 118.010395022, 118.010395022
105, 14_103, 14_103, 0.0, 12127.9726, 9, 109.581081092, 109.581081092
106, 14_102, 14_102, 0.0, 12127.9726, 36, 110.549415798, 110.549415798
107, 14_105, 14_105, 0.0, 12127.9726, 25, 164.101228921, 164.101228921
108, 0_37, 0_37, 0.0, 12127.9726, 324, 59.0051975112, 59.0051975112
109, 22_56, 22_56, 0.0, 12127.9726, 2916, 52.6410486218, 52.6410486218
110, 4_121, 4_121, 0.0, 12127.9726, 9, 169.2172962, 169.2172962
111, 14_29, 14_29, 0.0, 12127.9726, 289, 55.2747078991, 55.2747078991
112, 14_20, 14_20, 0.0, 12127.9726, 25, 46.9324337035, 46.9324337035
113, 6_15, 6_15, 0.0, 12127.9726, 361, 105.282097244, 105.282097244
114, 14_25, 14_25, 0.0, 12127.9726, 289, 107.618276019, 107.618276019
115, 14_24, 14_24, 0.0, 12127.9726, 289, 121.569294369, 121.569294369
116, 14_27, 14_27, 0.0, 12127.9726, 289, 80.4105299904, 80.4105299904
117, 14_26, 14_26, 0.0, 12127.9726, 289, 93.864867407, 93.864867407
118, 14_28, 14_28, 0.0, 12127.9726, 289, 67.4345114413, 67.4345114413
119, 30_42, 30_42, 0.0, 12127.9726, 16, 22.3018683821, 22.3018683821
120, 5_15, 5_15, 0.0, 12127.9726, 784, 91.1769707766, 91.1769707766
121, 5_14, 5_14, 0.0, 12127.9726, 25, 30.3923235922, 30.3923235922
122, 28_104, 28_104, 0.0, 12127.9726, 81, 110.227582755, 110.227582755
123, 14_76, 14_76, 0.0, 12127.9726, 225, 102.547029861, 102.547029861
124, 14_77, 14_77, 0.0, 12127.9726, 196, 94.9935436403, 94.9935436403
125, 29_31, 29_31, 0.0, 12127.9726, 100, 30.3923235922, 30.3923235922
126, 14_21, 14_21, 0.0, 12127.9726, 36, 33.7172557207, 33.7172557207
127, 3_104, 3_104, 0.0, 12127.9726, 81, 146.243130893, 146.243130893
128, 34_41, 34_41, 0.0, 12127.9726, 400, 102.2, 102.2
129, 24_57, 24_57, 0.0, 12127.9726, 2916, 43.8, 43.8
130, 1_67, 1_67, 0.0, 12127.9726, 25, 118.910106103, 118.910106103
131, 25_70, 25_70, 0.0, 12127.9726, 1296, 66.9056051464, 66.9056051464
132, 57_80, 57_80, 0.0, 12127.9726, 16, 139.275123407, 139.275123407
133, 4_113, 4_113, 0.0, 12127.9726, 25, 160.821059981, 160.821059981
134, 5_81, 5_81, 0.0, 12127.9726, 4, 94.9935436403, 94.9935436403
135, 5_83, 5_83, 0.0, 12127.9726, 9, 151.961617961, 151.961617961
136, 15_30, 15_30, 0.0, 12127.9726, 81, 89.2074735285, 89.2074735285
