,sep,sep2,dT,peak,mult,bl1,bl2
383, 24_62, 7_28, 0.0080000013113, 5921.10005082, 484, 63.6399245757, 59.0051975112
447, 0_19, 3_31, -0.0080000013113, 5742.31986158, 456, 50.575883581, 55.2747078991
192, 0_49, 14_69, 0.012000001967, 6487.99238337, 666, 73.48505517, 73.0
310, 14_26, 5_15, -0.011000001803, 7063.23756204, 476, 93.864867407, 91.1769707766
384, 15_26, 0_10, 0.00700000114739, 5028.87927613, 576, 33.7172557207, 38.6279691415
448, 24_76, 0_38, -0.0170000027865, 134.419297943, 510, 77.2559382831, 65.8350463912
193, 14_43, 14_42, -0.0200000032783, 1073.19484462, 3965, 38.6279691415, 38.6279691415
311, 8_24, 24_57, 0.00400000065565, 5300.2557601, 648, 36.742527585, 43.8
385, 1_34, 25_83, 0.00500000081956, 5495.18776879, 540, 65.8350463912, 73.0
449, 4_15, 27_57, 0.0210000034422, 2117.4167074, 1221, 77.2559382831, 75.8638253715
194, 24_70, 14_40, -0.011000001803, 5953.86228506, 714, 58.4, 59.0051975112
312, 1_15, 22_30, 0.00200000032783, 4776.59988092, 704, 38.6279691415, 30.3923235922
386, 4_15, 5_7, -0.0210000034422, 2069.84615967, 1369, 77.2559382831, 81.2893596973
450, 0_5, 0_13, -0.0180000029504, 1571.20249251, 1656, 73.0, 81.2893596973
195, 14_67, 14_81, 0.00400000065565, 922.354545182, 1271, 63.6399245757, 77.2559382831
313, 14_27, 27_57, 0.011000001803, 5971.22662239, 561, 80.4105299904, 75.8638253715
387, 14_68, 14_67, -0.0220000036061, 1699.05046316, 1681, 66.9056051464, 63.6399245757
451, 24_57, 22_41, 0.00500000081956, 4949.9674596, 540, 43.8, 36.742527585
196, 14_41, 24_57, -0.00400000065565, 5292.68917407, 810, 51.2735149305, 43.8
314, 0_9, 15_26, 0.0, 4749.94284722, 704, 25.2879417905, 33.7172557207
388, 0_20, 7_28, -0.0100000016391, 5569.13320242, 506, 63.6399245757, 59.0051975112
452, 24_70, 25_57, -0.0160000026226, 1332.77879056, 1974, 58.4, 52.6410486218
197, 22_29, 2_15, 0.0, 4759.56388665, 880, 42.1465696508, 50.575883581
315, 22_56, 0_28, 0.00300000049174, 4839.17535321, 702, 52.6410486218, 60.7846471844
389, 4_15, 22_26, -0.00900000147521, 5630.56071385, 592, 77.2559382831, 83.0191142649
453, 2_34, 24_57, 0.0, 73.9223959789, 810, 74.9213810159, 43.8
198, 0_60, 14_81, 0.011000001803, 6434.00250732, 651, 80.4105299904, 77.2559382831
316, 4_15, 22_25, -0.00200000032783, 156.318450384, 592, 77.2559382831, 97.2115905298
390, 14_69, 0_50, 0.00700000114739, 5204.7620187, 555, 73.0, 80.4105299904
454, 24_71, 24_70, -0.0210000034422, 1329.12766651, 1932, 52.6410486218, 58.4
199, 4_15, 14_27, 0.0100000016391, 6595.90681972, 629, 77.2559382831, 80.4105299904
317, 27_42, 0_12, -0.0100000016391, 6439.62347445, 517, 65.8350463912, 66.9056051464
391, 14_50, 26_83, 0.012000001967, 6677.0624283, 425, 83.0191142649, 81.2893596973
455, 0_75, 24_107, 0.012000001967, 7238.38865052, 360, 97.2115905298, 95.7386024548
200, 24_84, 0_35, -0.00100000016391, 5176.33437787, 798, 63.6399245757, 55.2747078991
318, 22_56, 0_18, 0.00400000065565, 901.587286437, 3780, 52.6410486218, 38.6279691415
392, 24_63, 0_21, 0.0210000034422, 2102.93235622, 1332, 75.8638253715, 77.2559382831
456, 24_76, 24_63, 0.0210000034422, 2096.87277167, 1224, 77.2559382831, 75.8638253715
201, 22_56, 0_19, 0.0170000027865, 1342.45662947, 3078, 52.6410486218, 50.575883581
319, 0_6, 25_31, 0.012000001967, 7165.82673316, 462, 87.6, 88.0046210908
393, 0_1, 30_31, 0.00300000049174, 5225.38124284, 540, 14.6, 16.8586278603
457, 22_25, 5_15, 0.00900000147521, 5729.3239587, 448, 97.2115905298, 91.1769707766
202, 22_26, 5_7, -0.011000001803, 6896.74894881, 592, 83.0191142649, 81.2893596973
320, 25_83, 14_51, -0.012000001967, 6472.56701592, 510, 73.0, 73.48505517
394, 4_22, 0_10, 0.00700000114739, 5590.19140646, 504, 42.1465696508, 38.6279691415
458, 25_57, 1_15, -0.00400000065565, 880.378072639, 3008, 52.6410486218, 38.6279691415
203, 22_27, 3_15, 0.00900000147521, 5510.68852863, 736, 68.9969081433, 63.6399245757
321, 15_27, 0_19, -0.0080000013113, 5763.33321874, 570, 46.9324337035, 50.575883581
395, 0_72, 24_104, 0.0100000016391, 6276.87730675, 441, 93.864867407, 88.8083329424
459, 25_57, 9_24, -0.00600000098348, 5558.16387235, 470, 52.6410486218, 46.9324337035
204, 25_83, 0_45, 0.012000001967, 6487.93453153, 630, 73.0, 73.48505517
322, 24_70, 14_52, 0.00500000081956, 5379.30390171, 630, 58.4, 65.8350463912
396, 3_22, 0_11, 0.00900000147521, 5974.50776737, 464, 55.2747078991, 52.6410486218
460, 4_22, 0_18, -0.0080000013113, 5222.02474291, 490, 42.1465696508, 38.6279691415
205, 1_15, 0_15, 0.0180000029504, 819.831696206, 4992, 38.6279691415, 29.2
323, 0_47, 24_95, 0.0, 5173.11079514, 630, 67.4345114413, 75.8638253715
397, 26_94, 0_57, 0.012000001967, 7002.23915054, 400, 87.6, 88.0046210908
461, 2_31, 0_20, 0.00900000147521, 6149.14335218, 414, 67.4345114413, 63.6399245757
206, 0_15, 22_41, 0.00200000032783, 5219.60417307, 780, 29.2, 36.742527585
324, 14_52, 24_83, 0.012000001967, 6227.71920561, 525, 65.8350463912, 66.9056051464
462, 14_56, 14_68, -0.0150000024587, 1257.1861133, 2091, 58.4, 66.9056051464
398, 0_3, 29_42, -0.00400000065565, 4867.11226673, 576, 43.8, 36.742527585
207, 0_18, 7_25, 0.0, 129.532772068, 910, 38.6279691415, 30.3923235922
325, 26_57, 14_29, 0.00200000032783, 4784.57647174, 680, 63.6399245757, 55.2747078991
463, 14_42, 22_53, 0.00100000016391, 5177.64215582, 488, 38.6279691415, 46.9324337035
399, 0_21, 0_12, 0.0140000022948, 1257.25382643, 1739, 77.2559382831, 66.9056051464
208, 8_24, 1_15, -0.0080000013113, 5242.35013094, 768, 36.742527585, 38.6279691415
538, 26_104, 0_70, -0.0080000013113, 5681.86120693, 270, 95.7386024548, 102.547029861
464, 0_9, 15_25, -0.00500000081956, 4912.92465807, 528, 25.2879417905, 22.3018683821
400, 1_45, 25_83, 0.00600000098348, 5206.37428969, 540, 80.4105299904, 73.0
209, 1_34, 25_70, -0.012000001967, 6196.4090049, 648, 65.8350463912, 66.9056051464
539, 14_44, 4_31, 0.0100000016391, 5469.23707815, 390, 43.8, 44.6037367642
465, 0_75, 24_106, -0.00900000147521, 5965.12761152, 420, 97.2115905298, 91.1769707766
401, 26_42, 0_13, -0.011000001803, 6921.27878621, 396, 80.4105299904, 81.2893596973
210, 26_57, 14_39, 0.0080000013113, 5885.70150389, 680, 63.6399245757, 68.9969081433
540, 0_21, 0_11, 0.0, 118.003110472, 2146, 77.2559382831, 52.6410486218
466, 22_69, 14_69, -0.0190000031143, 1605.88124921, 1554, 66.9056051464, 73.0
402, 14_56, 22_69, 0.0200000032783, 1273.60934942, 2142, 58.4, 66.9056051464
403, 1_104, 1_104, 0.0, 12127.9726, 225, 135.65696935, 135.65696935
