    4.350494      1.9105898E-02  1.9105896E-02  1.9105896E-02      102590
    4.398926      1.8673282E-02  1.8673282E-02  1.8673282E-02      103770
    4.447096      1.8150203E-02  1.8150203E-02  1.8150203E-02      106346
    4.495437      1.7618557E-02  1.7618559E-02  1.7618557E-02      108546
    4.543609      1.7331757E-02  1.7331757E-02  1.7331757E-02      110726
    4.591661      1.6904078E-02  1.6904078E-02  1.6904078E-02      112322
    4.639731      1.6459493E-02  1.6459493E-02  1.6459493E-02      115890
    4.688289      1.5960515E-02  1.5960515E-02  1.5960515E-02      118766
    4.736896      1.5600090E-02  1.5600090E-02  1.5600090E-02      122298
    4.785339      1.5171850E-02  1.5171849E-02  1.5171850E-02      122090
    4.833313      1.4946456E-02  1.4946459E-02  1.4946459E-02      125810
    4.882212      1.4527398E-02  1.4527397E-02  1.4527397E-02      128190
    4.929861      1.4178298E-02  1.4178297E-02  1.4178297E-02      130994
    4.979134      1.3767396E-02  1.3767396E-02  1.3767396E-02      133722
    5.026383      1.3534633E-02  1.3534633E-02  1.3534632E-02      133886
    5.075304      1.3227103E-02  1.3227104E-02  1.3227103E-02      140538
    5.123491      1.2883199E-02  1.2883199E-02  1.2883199E-02      140594
    5.171821      1.2559380E-02  1.2559381E-02  1.2559380E-02      143594
    5.220248      1.2306890E-02  1.2306889E-02  1.2306889E-02      146310
    5.268280      1.2064619E-02  1.2064619E-02  1.2064619E-02      150650
    5.317603      1.1733788E-02  1.1733788E-02  1.1733788E-02      151914
    5.364558      1.1476411E-02  1.1476412E-02  1.1476411E-02      153398
    5.414055      1.1228492E-02  1.1228491E-02  1.1228492E-02      157866
    5.460675      1.0974785E-02  1.0974784E-02  1.0974786E-02      160658
    5.511023      1.0821049E-02  1.0821048E-02  1.0821048E-02      164102
    5.557897      1.0488764E-02  1.0488766E-02  1.0488765E-02      164994
    5.607091      1.0162411E-02  1.0162412E-02  1.0162413E-02      169850
    5.655078      9.9962857E-03  9.9962866E-03  9.9962866E-03      172986
    5.703551      9.7763240E-03  9.7763250E-03  9.7763250E-03      173894
    5.751724      9.5598828E-03  9.5598809E-03  9.5598828E-03      176778
    5.799407      9.2778327E-03  9.2778346E-03  9.2778346E-03      181802
    5.849142      9.1005461E-03  9.1005443E-03  9.1005461E-03      184430
    5.895567      8.9125624E-03  8.9125615E-03  8.9125624E-03      187242
    5.945621      8.7368554E-03  8.7368554E-03  8.7368554E-03      190250
    5.993032      8.5278591E-03  8.5278600E-03  8.5278600E-03      192570
    6.043053      8.3090356E-03  8.3090346E-03  8.3090356E-03      198254
    6.089717      8.1309332E-03  8.1309332E-03  8.1309332E-03      198074
    6.137962      7.9445560E-03  7.9445550E-03  7.9445560E-03      202050
    6.186505      7.7651865E-03  7.7651860E-03  7.7651865E-03      205502
    6.235938      7.6056481E-03  7.6056481E-03  7.6056481E-03      210666
    6.284073      7.4526402E-03  7.4526393E-03  7.4526402E-03      212426
    6.330354      7.2570601E-03  7.2570597E-03  7.2570601E-03      213918
    6.379422      7.1306834E-03  7.1306839E-03  7.1306834E-03      220994
    6.429459      6.9377129E-03  6.9377129E-03  6.9377129E-03      221522
    6.478446      6.8337116E-03  6.8337107E-03  6.8337116E-03      226314
    6.523923      6.6726548E-03  6.6726552E-03  6.6726552E-03      227294
    6.571976      6.5005780E-03  6.5005785E-03  6.5005780E-03      232962
    6.622574      6.3811829E-03  6.3811815E-03  6.3811820E-03      237818
    6.671826      6.2448233E-03  6.2448243E-03  6.2448243E-03      238398
    6.718493      6.1358535E-03  6.1358516E-03  6.1358525E-03      241418
    6.764983      5.9772651E-03  5.9772641E-03  5.9772646E-03      246818
    6.814325      5.8430741E-03  5.8430745E-03  5.8430750E-03      249906
    6.865282      5.7139667E-03  5.7139671E-03  5.7139667E-03      254702
    6.912984      5.5758562E-03  5.5758567E-03  5.5758562E-03      254418
    6.957846      5.4757460E-03  5.4757455E-03  5.4757455E-03      260354
    7.005814      5.3771515E-03  5.3771520E-03  5.3771520E-03      264974
    7.058771      5.2145417E-03  5.2145422E-03  5.2145417E-03      268722
    7.106986      5.1280884E-03  5.1280884E-03  5.1280884E-03      271562
    7.152892      4.9949135E-03  4.9949125E-03  4.9949125E-03      275586
    7.199611      4.8908568E-03  4.8908568E-03  4.8908563E-03      280190
    7.250181      4.8168539E-03  4.8168539E-03  4.8168539E-03      282834
    7.301027      4.6860995E-03  4.6860995E-03  4.6860995E-03      285170
    7.347801      4.5841364E-03  4.5841364E-03  4.5841364E-03      289886
    7.392102      4.5047305E-03  4.5047305E-03  4.5047305E-03      294474
    7.441756      4.3935115E-03  4.3935115E-03  4.3935115E-03      299498
    7.494900      4.3013510E-03  4.3013510E-03  4.3013510E-03      299958
    7.538468      4.1979370E-03  4.1979365E-03  4.1979365E-03      305858
    7.591472      4.1093049E-03  4.1093053E-03  4.1093053E-03      310794
    7.633136      4.0180059E-03  4.0180064E-03  4.0180059E-03      313082
    7.685381      3.9364644E-03  3.9364644E-03  3.9364644E-03      316046
    7.737830      3.8645393E-03  3.8645389E-03  3.8645393E-03      322218
    7.776211      3.7567585E-03  3.7567590E-03  3.7567590E-03      328562
    7.833528      3.7010608E-03  3.7010608E-03  3.7010608E-03      327990
    7.876572      3.6247014E-03  3.6247014E-03  3.6247009E-03      335282
    7.924974      3.5373601E-03  3.5373601E-03  3.5373601E-03      335970
    7.982007      3.4723100E-03  3.4723100E-03  3.4723100E-03      344066
    8.016397      3.4026101E-03  3.4026101E-03  3.4026101E-03      343718
    8.073206      3.3268041E-03  3.3268041E-03  3.3268041E-03      351498
    8.122902      3.2566816E-03  3.2566816E-03  3.2566816E-03      354458
    8.160968      3.1855395E-03  3.1855400E-03  3.1855395E-03      358566
    8.226505      3.1157546E-03  3.1157546E-03  3.1157546E-03      366122
    8.258780      3.0552766E-03  3.0552766E-03  3.0552766E-03      365810
    8.313512      2.9885024E-03  2.9885024E-03  2.9885022E-03      371622
    8.367710      2.9391893E-03  2.9391889E-03  2.9391893E-03      375986
    8.398617      2.8774785E-03  2.8774785E-03  2.8774785E-03      382170
    8.468803      2.8139369E-03  2.8139364E-03  2.8139364E-03      381818
    8.502365      2.7657244E-03  2.7657244E-03  2.7657244E-03      389574
