f6B1 -> p3r6c3 -> r5A3Y -> sE14Y -> a95Y 
f6B2 -> p3r5c3 -> r5A3X -> sE14X -> a95X 
f6B3 -> p3r2c4 -> r4A4Y -> sB8Y  -> a68Y 
f6B4 -> p3r1c4 -> r4A4X -> sB8X  -> a68X 
f6C1 -> p3r4c5 -> r4B5Y -> sE8Y  -> a92Y 
f6C2 -> p3r3c5 -> r4B5X -> sE8X  -> a92X 
f6C3 -> p3r2c5 -> r4A5Y -> sC8Y  -> a76Y 
f6C4 -> p3r1c5 -> r4A5X -> sC8X  -> a76X 
f6D1 -> p3r6c6 -> r5A6Y -> sE12Y -> a94Y 
f6D2 -> p3r5c6 -> r5A6X -> sE12X -> a94X 
f6D3 -> p3r4c6 -> r4B6Y -> sG4Y  -> a106Y
f6D4 -> p3r3c6 -> r4B6X -> sG4X  -> a106X
f6E1 -> p3r6c1 -> r5A1Y -> sG8Y  -> a108Y
f6E2 -> p3r5c1 -> r5A1X -> sG8X  -> a108X
f6E3 -> p3r6c2 -> r5A2Y -> sF14Y -> a103Y
f6E4 -> p3r5c2 -> r5A2X -> sF14X -> a103X
f6F1 -> p3r4c1 -> r4B1Y -> sG10Y -> a109Y
f6F2 -> p3r3c1 -> r4B1X -> sG10X -> a109X
f6F3 -> p3r4c2 -> r4B2Y -> sC10Y -> a77Y 
f6F4 -> p3r3c2 -> r4B2X -> sC10X -> a77X 
f6G1 -> p3r2c1 -> r4A1Y -> sE10Y -> a93Y 
f6G2 -> p3r1c1 -> r4A1X -> sE10X -> a93X 
f6G3 -> p3r2c2 -> r4A2Y -> sF4Y  -> a98Y 
f6G4 -> p3r1c2 -> r4A2X -> sF4X  -> a98X 
f6H1 -> p3r4c3 -> r4B3Y -> sD8Y  -> a84Y 
f6H2 -> p3r3c3 -> r4B3X -> sD8X  -> a84X 
f6H3 -> p3r2c3 -> r4A3Y -> sF8Y  -> a100Y
f6H4 -> p3r1c3 -> r4A3X -> sF8X  -> a100X
f7A1 -> p6r2c1 -> r8B1Y -> sA14Y -> a51Y 
f7A2 -> p6r1c1 -> r8B1X -> sA14X -> a51X 
f7A3 -> p6r2c2 -> r8B2Y -> sF15Y -> a26Y 
f7A4 -> p6r1c2 -> r8B2X -> sF15X -> a26X 
f7B1 -> p6r2c3 -> r8B3Y -> sX7Y  -> a119Y
f7B2 -> p6r1c3 -> r8B3X -> sX7X  -> a119X
f7B3 -> p6r2c4 -> r8B4Y -> sX12Y -> a124Y
f7B4 -> p6r1c4 -> r8B4X -> sX12X -> a124X
f7C1 -> p6r2c5 -> r8B5Y -> sX3Y  -> a115Y
f7C2 -> p6r1c5 -> r8B5X -> sX3X  -> a115X
f7C3 -> p6r2c6 -> r8B6Y -> sX11Y -> a123Y
f7C4 -> p6r1c6 -> r8B6X -> sX11X -> a123X
f7D1 -> p6r2c7 -> r8B7Y -> sX14Y -> a126Y
f7D2 -> p6r1c7 -> r8B7X -> sX14X -> a126X
f7D3 -> p6r2c8 -> r8B8Y -> sX8Y  -> a120Y
f7D4 -> p6r1c8 -> r8B8X -> sX8X  -> a120X
f7E1 -> p5r4c5 -> r7B5Y -> sB15Y -> a59Y 
f7E2 -> p5r3c5 -> r7B5X -> sB15X -> a59X 
f7E3 -> p5r2c6 -> r7A6Y -> sG11Y -> a60Y 
f7E4 -> p5r1c6 -> r7A6X -> sG11X -> a60X 
f7F1 -> p5r4c7 -> r7B7Y -> sF11Y -> a44Y 
f7F2 -> p5r3c7 -> r7B7X -> sF11X -> a44X 
f7F3 -> p5r2c7 -> r7A7Y -> sA12Y -> a34Y 
f7F4 -> p5r1c7 -> r7A7X -> sA12X -> a34X 
f7G1 -> p5r6c8 -> r8A8Y -> sX13Y -> a125Y
f7G2 -> p5r5c8 -> r8A8X -> sX13X -> a125X
f7G3 -> p5r4c8 -> r7B8Y -> sA13Y -> a27Y 
f7G4 -> p5r3c8 -> r7B8X -> sA13X -> a27X 
f7H1 -> p5r6c7 -> r8A7Y -> sX9Y  -> a121Y
f7H2 -> p5r5c7 -> r8A7X -> sX9X  -> a121X
f7H3 -> p5r2c8 -> r7A8Y -> sC11Y -> a32Y 
f7H4 -> p5r1c8 -> r7A8X -> sC11X -> a32X 
f8A1 -> p5r6c4 -> r8A4Y -> sX15Y -> a127Y
f8A2 -> p5r5c4 -> r8A4X -> sX15X -> a127X
f8A3 -> p5r4c4 -> r7B4Y -> sD13Y -> a54Y 
f8A4 -> p5r3c4 -> r7B4X -> sD13X -> a54X 
f8B1 -> p5r6c3 -> r8A3Y -> sX4Y  -> a116Y
f8B2 -> p5r5c3 -> r8A3X -> sX4X  -> a116X
f8B3 -> p5r2c4 -> r7A4Y -> sC15Y -> a23Y 
f8B4 -> p5r1c4 -> r7A4X -> sC15X -> a23X 
f8C1 -> p5r6c5 -> r8A5Y -> sX5Y  -> a117Y
f8C2 -> p5r5c5 -> r8A5X -> sX5X  -> a117X
f8C3 -> p5r2c5 -> r7A5Y -> sD11Y -> a14Y 
f8C4 -> p5r1c5 -> r7A5X -> sD11X -> a14X 
f8D1 -> p5r6c6 -> r8A6Y -> sX2Y  -> a114Y
f8D2 -> p5r5c6 -> r8A6X -> sX2X  -> a114X
f8D3 -> p5r4c6 -> r7B6Y -> sB13Y -> a56Y 
f8D4 -> p5r3c6 -> r7B6X -> sB13X -> a56X 
f8E1 -> p5r4c1 -> r7B1Y -> sD15Y -> a50Y 
f8E2 -> p5r3c1 -> r7B1X -> sD15X -> a50X 
f8E3 -> p5r2c1 -> r7A1Y -> sA11Y -> a55Y 
f8E4 -> p5r1c1 -> r7A1X -> sA11X -> a55X 
f8F1 -> p5r6c1 -> r8A1Y -> sB11Y -> a13Y 
f8F2 -> p5r5c1 -> r8A1X -> sB11X -> a13X 
f8F3 -> p5r2c2 -> r7A2Y -> sG15Y -> a46Y 
f8F4 -> p5r1c2 -> r7A2X -> sG15X -> a46X 
f8G1 -> p5r6c2 -> r8A2Y -> sX6Y  -> a118Y
f8G2 -> p5r5c2 -> r8A2X -> sX6X  -> a118X
f8G3 -> p5r4c3 -> r7B3Y -> sE11Y -> a7Y  
f8G4 -> p5r3c3 -> r7B3X -> sE11X -> a7X  
f8H1 -> p5r4c2 -> r7B2Y -> sG13Y -> a39Y 
f8H2 -> p5r3c2 -> r7B2X -> sG13X -> a39X 
f8H3 -> p5r2c3 -> r7A3Y -> sF13Y -> a0Y  
f8H4 -> p5r1c3 -> r7A3X -> sF13X -> a0X  
