#srcname 	 ra 	 dec 	 flux [Jy] 	 sigma [Jy] 	 cat pos error ["] 	 catalog 
 J0030+636 	 0:29:45.21 	 63:58:52.5 	 0050.18 	 0034.47 	 0 	 helm,misc
 J0043+520 	 0:43:08.69 	 52:03:36.0 	 0053.67 	 0009.25 	 0 	 helm,misc
 J0056+262 	 0:55:49.30 	 26:24:40.0 	 0030.04 	 0008.82 	 0 	 helm,misc
 J0109+132 	 1:08:50.29 	 13:18:37.1 	 0060.15 	 0013.81 	 0 	 helm,misc
 J0136+206 	 1:36:23.89 	 20:57:19.0 	 0025.08 	 0010.24 	 0 	 helm,misc
 J0138+331 	 1:37:41.19 	 33:09:39.8 	 0052.77 	 0008.09 	 0 	 helm,misc
 J0157+285 	 1:57:10.56 	 28:51:38.7 	 0025.46 	 0008.59 	 0 	 helm,misc
 J0224+400 	 2:23:43.12 	 40:00:55.5 	 0019.22 	 0006.67 	 0 	 helm,misc
 J0238+591 	 2:38:03.08 	 59:12:01.9 	 0029.88 	 0015.11 	 0 	 helm,misc
 J0310+171 	 3:09:59.92 	 17:05:53.3 	 0031.12 	 0009.83 	 0 	 helm,misc
 J0320+413 	 3:19:48.40 	 41:30:43.7 	 0084.91 	 0008.10 	 0 	 helm,misc
 J0327+552 	 3:27:20.18 	 55:20:32.7 	 0028.01 	 0008.79 	 0 	 helm,misc
 J0408+430 	 4:08:03.69 	 43:00:18.4 	 0028.62 	 0009.86 	 0 	 helm,misc
 J0414+111 	 4:13:40.74 	 11:12:14.5 	 0039.63 	 0022.62 	 0 	 helm,misc
 J0418+380 	 4:18:17.83 	 38:01:22.2 	 0060.30 	 0010.89 	 0 	 helm,misc
 J0437+294 	 4:37:05.08 	 29:40:12.0 	 0244.60 	 0014.39 	 0 	 helm,misc
 J0453+313 	 4:53:23.73 	 31:29:22.6 	 0025.59 	 0008.79 	 0 	 helm,misc
 J0505+381 	 5:04:43.23 	 38:06:09.6 	 0089.12 	 0009.30 	 0 	 helm,misc
 J0543+495 	 5:42:37.00 	 49:51:03.2 	 0063.82 	 0010.63 	 0 	 helm,misc
 J0655+541 	 6:55:15.45 	 54:08:52.9 	 0017.70 	 0006.42 	 0 	 helm,misc
 J0814+481 	 8:13:36.74 	 48:12:52.2 	 0071.90 	 0009.08 	 0 	 helm,misc
 J0921+454 	 9:21:06.08 	 45:38:10.4 	 0035.61 	 0006.35 	 0 	 helm,misc
 J1002+285 	 10:01:48.25 	 28:46:59.1 	 0032.03 	 0006.42 	 0 	 helm,misc
 J1034+581 	 10:33:33.59 	 58:14:20.3 	 0023.11 	 0007.37 	 0 	 helm,misc
 J1115+404 	 11:14:38.10 	 40:37:11.7 	 0029.19 	 0005.49 	 0 	 helm,misc
 J1143+221 	 11:43:24.43 	 22:06:53.3 	 0020.07 	 0007.17 	 0 	 helm,misc
 J1145+313 	 11:45:28.56 	 31:33:36.3 	 0021.37 	 0004.68 	 0 	 helm,misc
 J1225+125 	 12:25:03.35 	 12:53:17.0 	 0019.72 	 0006.16 	 0 	 helm,misc
 J1229+020 	 12:29:05.09 	 2:02:59.9 	 0115.40 	 0011.22 	 0 	 helm,misc
 J1257+472 	 12:56:56.08 	 47:20:12.4 	 0027.34 	 0005.54 	 0 	 helm,misc
 J1331+251 	 13:30:36.41 	 25:09:07.5 	 0020.03 	 0006.26 	 0 	 helm,misc
 J1331+303 	 13:31:06.96 	 30:30:28.6 	 0026.58 	 0004.32 	 0 	 helm,misc
 J1339+385 	 13:38:47.94 	 38:51:06.0 	 0042.00 	 0005.25 	 0 	 helm,misc
 J1411+521 	 14:11:18.41 	 52:11:55.9 	 0103.15 	 0008.14 	 0 	 helm,misc
 J1419+063 	 14:19:06.85 	 6:28:38.6 	 0101.82 	 0014.84 	 0 	 helm,misc
 J1423+194 	 14:22:59.08 	 19:35:26.8 	 0019.59 	 0006.50 	 0 	 helm,misc
 J1449+632 	 14:49:19.74 	 63:16:05.0 	 0032.40 	 0007.56 	 0 	 helm,misc
 J1505+260 	 15:04:57.64 	 26:00:46.3 	 0040.40 	 0012.50 	 0 	 helm,misc
 J1514+261 	 15:13:38.71 	 26:07:30.5 	 0024.00 	 0008.09 	 0 	 helm,misc
 J1517+070 	 15:16:42.68 	 7:01:23.8 	 0067.23 	 0025.34 	 0 	 helm,misc
 J1524+543 	 15:24:03.16 	 54:28:12.3 	 0016.04 	 0006.52 	 0 	 helm,misc
 J1535+554 	 15:34:58.67 	 55:36:48.2 	 0016.79 	 0006.01 	 0 	 helm,misc
 J1550+624 	 15:49:55.35 	 62:41:14.6 	 0022.90 	 0008.34 	 0 	 helm,misc
 J1610+656 	 16:09:33.02 	 65:56:38.5 	 0035.65 	 0011.20 	 0 	 helm,misc
 J1629+393 	 16:28:36.01 	 39:33:01.5 	 0040.40 	 0010.57 	 0 	 helm,misc
 J1629+442 	 16:28:50.63 	 44:19:04.4 	 0020.13 	 0006.44 	 0 	 helm,misc
