Name,Description,Feature Code,ECEFX,ECEFY,ECEFZ,Latitude,Longitude,Northing,Easting,Elevation,Ellipsoid Height,Horizontal Quality,Elevation Quality,Ellipsoid Height Quality,Point style,Layer
"g63s","","gs63 s",5109433.869,2005175.277,-3239862.360,30ø43'14.34491"S,21ø25'38.31846"E,6601278.305,540912.282,1085.593,1085.593,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:07:01 20 May 2010
"gs63 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g63n","","gs63 n",5109434.822,2005175.607,-3239860.604,30ø43'14.27917"S,21ø25'38.31690"E,6601280.329,540912.248,1085.561,1085.561,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:08:24 20 May 2010
"gs63 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g45s","","gs45 s",5109431.496,2005212.580,-3239842.790,30ø43'13.60930"S,21ø25'39.65593"E,6601300.814,540947.940,1085.411,1085.411,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:09:52 20 May 2010
"gs45 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g45n","","gs45 n",5109432.423,2005212.915,-3239841.105,30ø43'13.54595"S,21ø25'39.65493"E,6601302.764,540947.920,1085.397,1085.397,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:11:00 20 May 2010
"gs45 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g43n","","gs43 n",5109404.807,2005264.415,-3239853.003,30ø43'13.99234"S,21ø25'41.83563"E,6601288.802,541005.865,1085.551,1085.551,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:13:21 20 May 2010
"gs43 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g43s","","gs43 s",5109403.872,2005264.033,-3239854.735,30ø43'14.05744"S,21ø25'41.83511"E,6601286.798,541005.844,1085.566,1085.566,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:14:21 20 May 2010
"gs43 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g50n","","gs50 n",5109386.441,2005286.682,-3239868.396,30ø43'14.57060"S,21ø25'42.86670"E,6601270.896,541033.219,1085.710,1085.710,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:15:41 20 May 2010
"gs50 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g50s","","gs50 s",5109385.522,2005286.299,-3239870.163,30ø43'14.63642"S,21ø25'42.86593"E,6601268.870,541033.191,1085.756,1085.756,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:17:26 20 May 2010
"gs50 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g38s","","gs38 s",5109388.785,2005300.811,-3239855.901,30ø43'14.10007"S,21ø25'43.32876"E,6601285.334,541045.563,1085.640,1085.640,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:18:23 20 May 2010
"gs38 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g38n","","gs38 n",5109389.704,2005301.183,-3239854.205,30ø43'14.03628"S,21ø25'43.32916"E,6601287.297,541045.582,1085.626,1085.626,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:19:06 20 May 2010
"gs38 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g54s","","gs54 s",5109392.869,2005310.933,-3239843.071,30ø43'13.61758"S,21ø25'43.62678"E,6601300.156,541053.546,1085.533,1085.533,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:20:15 20 May 2010
"gs54 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g54n","","gs54 n",5109393.798,2005311.242,-3239841.396,30ø43'13.55461"S,21ø25'43.62486"E,6601302.095,541053.503,1085.518,1085.518,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:21:33 20 May 2010
"gs54 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g46s","","gs46 s",5109403.069,2005296.587,-3239835.719,30ø43'13.34184"S,21ø25'42.98491"E,6601308.710,541036.508,1085.434,1085.434,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:22:48 20 May 2010
"gs46 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g46n","","gs46 n",5109403.957,2005296.969,-3239834.016,30ø43'13.27826"S,21ø25'42.98608"E,6601310.667,541036.546,1085.395,1085.395,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:23:43 20 May 2010
"gs46 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g53s","","gs53 s",5109408.859,2005287.135,-3239832.335,30ø43'13.21525"S,21ø25'42.57478"E,6601312.648,541025.615,1085.370,1085.370,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:34:47 20 May 2010
"gs53 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g53n","","gs53 n",5109409.821,2005287.471,-3239830.606,30ø43'13.15012"S,21ø25'42.57331"E,6601314.653,541025.583,1085.362,1085.362,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:35:58 20 May 2010
"gs53 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g39n","","gs39 n",5109380.937,2005338.179,-3239845.091,30ø43'13.69308"S,21ø25'44.74371"E,6601297.718,541083.243,1085.574,1085.574,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:38:25 20 May 2010
"gs39 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g39s","","gs39 s",5109380.022,2005337.810,-3239846.793,30ø43'13.75695"S,21ø25'44.74337"E,6601295.752,541083.226,1085.596,1085.596,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:39:00 20 May 2010
"gs39 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g60n","","gs60 n",5109347.940,2005367.235,-3239879.521,30ø43'14.98741"S,21ø25'46.21317"E,6601257.724,541122.172,1085.884,1085.884,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:42:13 20 May 2010
"gs60 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g60s","","gs60 s",5109347.019,2005366.886,-3239881.269,30ø43'15.05252"S,21ø25'46.21361"E,6601255.720,541122.176,1085.929,1085.929,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:42:58 20 May 2010
"gs60 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g52n","","gs52 n",5109323.904,2005351.984,-3239927.439,30ø43'16.78831"S,21ø25'46.00966"E,6601202.306,541116.547,1086.338,1086.338,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:44:25 20 May 2010
"gs52 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g52s","","gs52 s",5109322.982,2005351.629,-3239929.153,30ø43'16.85255"S,21ø25'46.00990"E,6601200.329,541116.546,1086.364,1086.364,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:45:14 20 May 2010
"gs52 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g51n","","gs51 n",5109305.761,2005367.996,-3239946.519,30ø43'17.50393"S,21ø25'46.81889"E,6601180.194,541137.984,1086.595,1086.595,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:46:25 20 May 2010
"gs51 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g51s","","gs51 s",5109304.824,2005367.656,-3239948.209,30ø43'17.56764"S,21ø25'46.81987"E,6601178.233,541138.003,1086.602,1086.602,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:46:58 20 May 2010
"gs51 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g57n","","gs57 n",5109299.263,2005363.121,-3239959.894,30ø43'18.00710"S,21ø25'46.73757"E,6601164.713,541135.762,1086.697,1086.697,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:48:11 20 May 2010
"gs57 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g57s","","gs57 s",5109298.314,2005362.698,-3239961.620,30ø43'18.07248"S,21ø25'46.73580"E,6601162.701,541135.708,1086.687,1086.687,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:48:48 20 May 2010
"gs57 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g59n","","gs59 n",5109303.847,2005337.646,-3239968.475,30ø43'18.33020"S,21ø25'45.78349"E,6601154.864,541110.350,1086.748,1086.748,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:50:24 20 May 2010
"gs59 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g59s","","gs59 s",5109302.962,2005337.270,-3239970.237,30ø43'18.39532"S,21ø25'45.78247"E,6601152.860,541110.315,1086.822,1086.822,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:51:22 20 May 2010
"gs59 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g56n","","gs56 n",5109291.007,2005331.814,-3239992.689,30ø43'19.23960"S,21ø25'45.75576"E,6601126.872,541109.506,1087.012,1087.012,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:52:40 20 May 2010
"gs56 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g56s","","gs56 s",5109290.043,2005331.440,-3239994.439,30ø43'19.30557"S,21ø25'45.75592"E,6601124.841,541109.502,1087.017,1087.017,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:53:29 20 May 2010
"gs56 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g36n","","gs36 n",5109281.883,2005304.065,-3240024.798,30ø43'20.44477"S,21ø25'44.91033"E,6601089.858,541086.879,1087.399,1087.399,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:55:50 20 May 2010
"gs36 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g36s","","gs36 s",5109280.892,2005303.665,-3240026.568,30ø43'20.51191"S,21ø25'44.90993"E,6601087.792,541086.861,1087.384,1087.384,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:56:36 20 May 2010
"gs36 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g62n","","gs62 n",5109284.553,2005286.189,-3240031.726,30ø43'20.70524"S,21ø25'44.24832"E,6601081.907,541069.242,1087.461,1087.461,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:57:46 20 May 2010
"gs62 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g62s","","gs62 s",5109283.616,2005285.735,-3240033.484,30ø43'20.77152"S,21ø25'44.24529"E,6601079.867,541069.154,1087.467,1087.467,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:58:33 20 May 2010
"gs62 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g40n","","gs40 n",5109290.925,2005248.417,-3240045.282,30ø43'21.21409"S,21ø25'42.83950"E,6601066.386,541031.714,1087.622,1087.622,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:00:09 20 May 2010
"gs40 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g40s","","gs40 s",5109290.006,2005248.079,-3240046.963,30ø43'21.27724"S,21ø25'42.84029"E,6601064.442,541031.728,1087.640,1087.640,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:01:02 20 May 2010
"gs40 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g48s","","gs48 s",5109318.278,2005228.882,-3240013.717,30ø43'20.02917"S,21ø25'41.78060"E,6601102.970,541003.692,1087.250,1087.250,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:03:01 20 May 2010
"gs48 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g48n","","gs48 n",5109319.197,2005229.215,-3240012.009,30ø43'19.96529"S,21ø25'41.77963"E,6601104.937,541003.674,1087.218,1087.218,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:04:31 20 May 2010
"gs48 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g35n","","gs35 n",5109336.962,2005161.496,-3240026.150,30ø43'20.49603"S,21ø25'39.16676"E,6601088.864,540934.121,1087.390,1087.390,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:06:45 20 May 2010
"gs35 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g35s","","gs35 s",5109336.053,2005161.096,-3240027.877,30ø43'20.56069"S,21ø25'39.16525"E,6601086.874,540934.074,1087.420,1087.420,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:07:41 20 May 2010
"gs35 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g55s","","gs55 s",5109335.511,2005304.391,-3239938.788,30ø43'17.21426"S,21ø25'44.18544"E,6601189.380,541067.981,1086.476,1086.476,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:11:34 20 May 2010
"gs55 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g55n","","gs55 n",5109336.410,2005304.778,-3239937.135,30ø43'17.15191"S,21ø25'44.18663"E,6601191.299,541068.020,1086.473,1086.473,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:12:29 20 May 2010
"gs55 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g34n","","gs34 n",5109321.409,2005323.905,-3239949.126,30ø43'17.60229"S,21ø25'45.06168"E,6601177.345,541091.239,1086.602,1086.602,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:13:45 20 May 2010
"gs34 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g34s","","gs34 s",5109320.466,2005323.501,-3239950.793,30ø43'17.66582"S,21ø25'45.06049"E,6601175.390,541091.200,1086.572,1086.572,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:14:30 20 May 2010
"gs34 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g44s","","gs44 s",5109342.611,2005322.942,-3239915.807,30ø43'16.35083"S,21ø25'44.73691"E,6601215.903,541082.749,1086.244,1086.244,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:15:44 20 May 2010
"gs44 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g44n","","gs44 n",5109343.543,2005323.290,-3239914.133,30ø43'16.28763"S,21ø25'44.73626"E,6601217.849,541082.739,1086.244,1086.244,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,15:16:39 20 May 2010
"gs44 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"2154","","",5109356.470,2005242.003,-3239947.553,30ø43'17.51334"S,21ø25'41.71525"E,6601180.424,541002.250,1088.132,1088.132,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:07:37 20 May 2010
"a3n","","3",5109355.518,2005216.457,-3239961.154,30ø43'18.06245"S,21ø25'40.83466"E,6601163.609,540978.765,1086.295,1086.295,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:48:45 2 Dec 2011
"a3w","","3",5109355.379,2005214.434,-3239962.622,30ø43'18.11782"S,21ø25'40.76580"E,6601161.912,540976.928,1086.298,1086.298,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:49:14 2 Dec 2011
"b3w","","3",5109353.467,2005213.702,-3239966.164,30ø43'18.25064"S,21ø25'40.76644"E,6601157.823,540976.929,1086.348,1086.348,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:49:45 2 Dec 2011
"c3w","","3",5109351.573,2005213.003,-3239969.649,30ø43'18.38140"S,21ø25'40.76800"E,6601153.798,540976.955,1086.393,1086.393,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:50:13 2 Dec 2011
"d3w","","3",5109349.677,2005212.321,-3239973.092,30ø43'18.51089"S,21ø25'40.77018"E,6601149.812,540976.998,1086.421,1086.421,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:50:45 2 Dec 2011
"d3s","","3",5109348.229,2005213.638,-3239974.598,30ø43'18.56729"S,21ø25'40.83612"E,6601148.068,540978.745,1086.445,1086.445,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:52:30 2 Dec 2011
"d3e","","3",5109348.438,2005215.577,-3239973.062,30ø43'18.50943"S,21ø25'40.90109"E,6601149.843,540980.480,1086.436,1086.436,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:53:33 2 Dec 2011
"c3e","","3",5109350.328,2005216.318,-3239969.592,30ø43'18.37893"S,21ø25'40.90105"E,6601153.860,540980.494,1086.409,1086.409,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:54:13 2 Dec 2011
"b3e","","3",5109352.220,2005216.988,-3239966.132,30ø43'18.24910"S,21ø25'40.89852"E,6601157.857,540980.442,1086.366,1086.366,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:55:18 2 Dec 2011
"a3e","","3",5109354.026,2005217.706,-3239962.741,30ø43'18.12222"S,21ø25'40.89884"E,6601161.763,540980.465,1086.304,1086.304,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:56:00 2 Dec 2011
"a3c","","3",5109355.607,2005216.399,-3239963.243,30ø43'18.11972"S,21ø25'40.83142"E,6601161.847,540978.673,1087.415,1087.415,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:57:41 2 Dec 2011
"a2n","","3",5109366.419,2005188.509,-3239961.282,30ø43'18.06708"S,21ø25'39.70733"E,6601163.581,540948.783,1086.307,1086.307,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,15:59:23 2 Dec 2011
"a2w","","3",5109366.248,2005186.539,-3239962.805,30ø43'18.12415"S,21ø25'39.64078"E,6601161.831,540947.006,1086.329,1086.329,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:00:01 2 Dec 2011
"b2w","","3",5109364.357,2005185.801,-3239966.244,30ø43'18.25380"S,21ø25'39.64089"E,6601157.840,540946.994,1086.341,1086.341,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:00:41 2 Dec 2011
"c2w","","3",5109362.469,2005185.125,-3239969.701,30ø43'18.38353"S,21ø25'39.64316"E,6601153.846,540947.039,1086.384,1086.384,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:01:10 2 Dec 2011
"d2w","","3",5109360.586,2005184.384,-3239973.174,30ø43'18.51404"S,21ø25'39.64312"E,6601149.829,540947.023,1086.419,1086.419,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:02:20 2 Dec 2011
"d2s","","3",5109359.151,2005185.679,-3239974.696,30ø43'18.57080"S,21ø25'39.70811"E,6601148.075,540948.745,1086.454,1086.454,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:02:55 2 Dec 2011
"d2e","","3",5109359.342,2005187.648,-3239973.214,30ø43'18.51458"S,21ø25'39.77438"E,6601149.799,540950.514,1086.469,1086.469,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:03:24 2 Dec 2011
"c2e","","3",5109361.201,2005188.411,-3239969.738,30ø43'18.38422"S,21ø25'39.77553"E,6601153.812,540950.560,1086.420,1086.420,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:03:49 2 Dec 2011
"b2e","","3",5109363.080,2005189.099,-3239966.293,30ø43'18.25491"S,21ø25'39.77379"E,6601157.793,540950.529,1086.380,1086.380,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:04:41 2 Dec 2011
"a2e","","3",5109364.951,2005189.829,-3239962.812,30ø43'18.12444"S,21ø25'39.77365"E,6601161.809,540950.540,1086.328,1086.328,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:05:17 2 Dec 2011
"a2c","","3",5109366.483,2005188.555,-3239963.371,30ø43'18.12409"S,21ø25'39.70807"E,6601161.826,540948.796,1087.440,1087.440,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:06:33 2 Dec 2011
"a1n","","2",5109377.309,2005160.461,-3239961.372,30ø43'18.07139"S,21ø25'38.57665"E,6601163.564,540918.712,1086.258,1086.258,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:07:55 2 Dec 2011
"a1w","","1",5109377.106,2005158.512,-3239962.886,30ø43'18.12858"S,21ø25'38.51125"E,6601161.809,540916.966,1086.257,1086.257,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:09:24 2 Dec 2011
"b1w","","1",5109375.212,2005157.883,-3239966.307,30ø43'18.25713"S,21ø25'38.51525"E,6601157.852,540917.057,1086.292,1086.292,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:09:54 2 Dec 2011
"c1w","","1",5109373.332,2005157.197,-3239969.769,30ø43'18.38693"S,21ø25'38.51707"E,6601153.856,540917.090,1086.340,1086.340,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:10:44 2 Dec 2011
"d1w","","1",5109371.489,2005156.480,-3239973.217,30ø43'18.51595"S,21ø25'38.51726"E,6601149.884,540917.080,1086.402,1086.402,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:11:36 2 Dec 2011
"d1s","","1",5109370.022,2005157.818,-3239974.725,30ø43'18.57258"S,21ø25'38.58423"E,6601148.134,540918.855,1086.419,1086.419,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:12:10 2 Dec 2011
"d1e","","1",5109370.195,2005159.752,-3239973.206,30ø43'18.51582"S,21ø25'38.64950"E,6601149.875,540920.597,1086.389,1086.389,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:13:07 2 Dec 2011
"c1e","","1",5109372.038,2005160.491,-3239969.761,30ø43'18.38671"S,21ø25'38.65006"E,6601153.849,540920.627,1086.336,1086.336,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:14:17 2 Dec 2011
"b1e","","1",5109373.943,2005161.153,-3239966.311,30ø43'18.25702"S,21ø25'38.64708"E,6601157.842,540920.563,1086.306,1086.306,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:15:08 2 Dec 2011
"a1e","","1",5109375.871,2005161.792,-3239962.857,30ø43'18.12698"S,21ø25'38.64294"E,6601161.845,540920.468,1086.285,1086.285,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:15:41 2 Dec 2011
"a1c","","1",5109377.274,2005160.466,-3239963.569,30ø43'18.13321"S,21ø25'38.57729"E,6601161.660,540918.721,1087.354,1087.354,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:16:36 2 Dec 2011
"a0n","","1",5109388.115,2005132.649,-3239961.501,30ø43'18.07665"S,21ø25'37.45537"E,6601163.515,540888.890,1086.238,1086.238,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:17:53 2 Dec 2011
"a0w","","1",5109387.953,2005130.702,-3239963.002,30ø43'18.13286"S,21ø25'37.38950"E,6601161.791,540887.132,1086.263,1086.263,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:18:44 2 Dec 2011
"b0w","","0",5109386.100,2005129.931,-3239966.482,30ø43'18.26326"S,21ø25'37.38794"E,6601157.777,540887.075,1086.316,1086.316,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:20:23 2 Dec 2011
"c0w","","0",5109384.242,2005129.188,-3239969.944,30ø43'18.39308"S,21ø25'37.38747"E,6601153.781,540887.047,1086.364,1086.364,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:21:05 2 Dec 2011
"d0w","","0",5109382.347,2005128.454,-3239973.425,30ø43'18.52393"S,21ø25'37.38780"E,6601149.753,540887.041,1086.396,1086.396,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:21:41 2 Dec 2011
"d0s","","0",5109380.907,2005129.780,-3239974.924,30ø43'18.57998"S,21ø25'37.45396"E,6601148.021,540888.794,1086.425,1086.425,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:22:27 2 Dec 2011
"d0e","","0",5109381.080,2005131.720,-3239973.424,30ø43'18.52368"S,21ø25'37.51944"E,6601149.747,540890.542,1086.408,1086.408,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:22:53 2 Dec 2011
"c0e","","0",5109382.946,2005132.454,-3239969.970,30ø43'18.39404"S,21ø25'37.51951"E,6601153.738,540890.559,1086.367,1086.367,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:23:23 2 Dec 2011
"b0e","","0",5109384.799,2005133.236,-3239966.501,30ø43'18.26387"S,21ø25'37.52143"E,6601157.745,540890.625,1086.322,1086.322,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:23:59 2 Dec 2011
"a0e","","0",5109386.672,2005133.950,-3239963.040,30ø43'18.13402"S,21ø25'37.52071"E,6601161.742,540890.621,1086.277,1086.277,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:25:59 2 Dec 2011
"a0c","","0",5109388.195,2005132.678,-3239963.578,30ø43'18.13324"S,21ø25'37.45527"E,6601161.773,540888.881,1087.372,1087.372,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:26:50 2 Dec 2011
"ar16n","","0",5109415.945,2005153.772,-3239903.738,30ø43'15.90682"S,21ø25'37.81223"E,6601230.275,540898.636,1085.633,1085.633,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:30:05 2 Dec 2011
"ar16s","","0",5109414.267,2005153.152,-3239906.771,30ø43'16.02112"S,21ø25'37.81358"E,6601226.756,540898.658,1085.645,1085.645,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:30:47 2 Dec 2011
"ar06n","","r",5109421.977,2005145.956,-3239898.950,30ø43'15.72741"S,21ø25'37.45599"E,6601235.834,540889.182,1085.560,1085.560,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:32:38 2 Dec 2011
"ar06s","","r",5109420.341,2005145.296,-3239902.006,30ø43'15.84195"S,21ø25'37.45539"E,6601232.308,540889.153,1085.604,1085.604,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa32m,16:33:28 2 Dec 2011
