Name,Description,Feature Code,ECEFX,ECEFY,ECEFZ,Latitude,Longitude,Northing,Easting,Elevation,Ellipsoid Height,Horizontal Quality,Elevation Quality,Ellipsoid Height Quality,Point style,Layer
"b6w","","6",5109320.755,2005297.678,-3239965.901,30ø43'18.23951"S,21ø25'44.15321"E,6601157.822,541067.003,1086.411,1086.411,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:52:51 2 Dec 2011
"c6w","","6",5109318.858,2005296.967,-3239969.356,30ø43'18.36952"S,21ø25'44.15438"E,6601153.819,541067.019,1086.434,1086.434,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:53:34 2 Dec 2011
"d6w","","6",5109316.992,2005296.171,-3239972.845,30ø43'18.50054"S,21ø25'44.15213"E,6601149.786,541066.944,1086.474,1086.474,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:54:07 2 Dec 2011
"d6s","","6",5109315.520,2005297.522,-3239974.341,30ø43'18.55684"S,21ø25'44.21961"E,6601148.047,541068.731,1086.484,1086.484,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:54:43 2 Dec 2011
"d6e","","6",5109315.706,2005299.484,-3239972.824,30ø43'18.49974"S,21ø25'44.28571"E,6601149.797,541070.496,1086.475,1086.475,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:56:04 2 Dec 2011
"c6e","","6",5109317.568,2005300.240,-3239969.330,30ø43'18.36887"S,21ø25'44.28658"E,6601153.826,541070.535,1086.417,1086.417,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:58:33 2 Dec 2011
"b6e","","6",5109319.469,2005300.939,-3239965.866,30ø43'18.23861"S,21ø25'44.28494"E,6601157.836,541070.506,1086.388,1086.388,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:59:46 2 Dec 2011
"a6e","","6",5109321.347,2005301.614,-3239962.417,30ø43'18.10925"S,21ø25'44.28276"E,6601161.819,541070.464,1086.341,1086.341,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:00:19 2 Dec 2011
"a7n","","6",5109311.968,2005328.298,-3239960.763,30ø43'18.04622"S,21ø25'45.34497"E,6601163.651,541098.721,1086.372,1086.372,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:01:23 2 Dec 2011
"a7w","","7",5109311.778,2005326.365,-3239962.279,30ø43'18.10319"S,21ø25'45.27997"E,6601161.904,541096.986,1086.387,1086.387,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:02:03 2 Dec 2011
"b7w","","7",5109309.897,2005325.626,-3239965.742,30ø43'18.23336"S,21ø25'45.27993"E,6601157.896,541096.969,1086.419,1086.419,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:02:35 2 Dec 2011
"c7w","","7",5109307.984,2005324.925,-3239969.196,30ø43'18.36355"S,21ø25'45.28167"E,6601153.889,541097.000,1086.432,1086.432,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:03:08 2 Dec 2011
"d7w","","7",5109306.129,2005324.174,-3239972.654,30ø43'18.49325"S,21ø25'45.28087"E,6601149.896,541096.964,1086.478,1086.478,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,11:04:02 2 Dec 2011
