1.15433461e-01 1.13321898e+05 1.10344354e-01 1.41854515e-01 9.45931186e+04 1.32050676e+05
1.34446358e-01 3.31804014e+04 1.24502554e-01 1.59362121e-01 2.25134198e+04 4.38473829e+04
1.75211972e-01 1.95925625e+04 1.48718889e-01 2.27298045e-01 2.28387100e+03 3.69012541e+04
2.32661767e-01 5.19189962e+04 1.95574630e-01 2.72797713e-01 1.38373844e+04 9.00006079e+04
2.76293558e-01 6.27535076e+04 2.46351242e-01 3.01782538e-01 1.00000000e-50 1.28027351e+05
3.04032010e-01 1.09721375e+05 2.83859101e-01 3.45740303e-01 5.78102120e+03 2.13661729e+05
3.48885619e-01 1.35181088e+05 3.17439678e-01 4.98870766e-01 8.02489610e+03 2.62337280e+05
5.22546980e-01 4.56618903e+05 4.25270802e-01 6.36810493e-01 5.51765773e+04 8.58061228e+05
6.62328403e-01 3.24164576e+05 5.61509794e-01 7.40510301e-01 1.00000000e-50 9.47657544e+05
7.63473572e-01 9.43726556e+05 6.83947910e-01 8.50648877e-01 1.00000000e-50 1.90955969e+06
8.81223351e-01 7.35979592e+05 7.91757384e-01 1.01523110e+00 1.00000000e-50 2.17567152e+06
1.06558744e+00 1.48654252e+06 9.26573354e-01 1.23383761e+00 1.00000000e-50 3.60923474e+06
1.30686642e+00 4.14651833e+06 1.12364803e+00 1.50494225e+00 1.69037831e+05 8.12399882e+06
1.62242688e+00 7.52872194e+06 1.35550697e+00 1.74809268e+00 1.00000000e-50 1.57860804e+07
1.85629711e+00 -8.64720334e+06 1.72189589e+00 1.93381168e+00 1.00000000e-50 5.72030585e+07
