1.13055405e-01 1.15521728e+05 9.92149707e-02 1.17120123e-01 9.82895450e+04 1.32753910e+05
1.59003846e-01 2.51575361e+04 1.33491023e-01 1.71238911e-01 3.61390569e+03 4.67011665e+04
1.94795005e-01 3.83105787e+04 1.71416561e-01 2.24964349e-01 1.28613098e+02 7.64925442e+04
2.26595052e-01 5.69070733e+04 2.04516287e-01 2.77118738e-01 1.00000000e-50 1.13861166e+05
2.82318071e-01 1.00886173e+05 2.43713287e-01 3.30400114e-01 6.06986216e+03 1.95702484e+05
3.33946939e-01 1.97301550e+05 3.01638513e-01 3.79818035e-01 2.91436249e+04 3.65459476e+05
3.81066121e-01 7.49698483e+04 3.55259397e-01 4.67022148e-01 1.00000000e-50 3.46128228e+05
4.68754334e-01 2.58386266e+05 4.13449326e-01 5.38181938e-01 1.00000000e-50 6.80906225e+05
5.49533208e-01 4.79817121e+05 4.88861186e-01 6.31096120e-01 1.00000000e-50 1.08184293e+06
6.46579867e-01 5.39722592e+05 5.73334624e-01 7.82131099e-01 1.00000000e-50 1.33117239e+06
8.26996952e-01 2.04257190e+06 6.91735061e-01 9.47645133e-01 3.31378995e+05 3.75376480e+06
9.94519945e-01 3.27147899e+06 8.70613308e-01 1.15982748e+00 5.51912181e+05 5.99104579e+06
1.22923692e+00 5.04474895e+06 1.04271170e+00 1.42748735e+00 3.31065339e+05 9.75843257e+06
1.55046477e+00 6.92753503e+06 1.27963546e+00 1.67462293e+00 1.00000000e-50 1.71840874e+07
1.78136372e+00 2.68003981e+07 1.57343574e+00 1.87483100e+00 1.00000000e-50 9.43469871e+07
