1.19077997e-01 7.55845384e+04 1.13110946e-01 1.43760072e-01 5.85884400e+04 9.25806367e+04
1.41420721e-01 4.68885669e+04 1.30280421e-01 1.80723396e-01 3.50941980e+04 5.86829357e+04
1.80166868e-01 2.31549919e+04 1.55759232e-01 2.38764051e-01 8.27510947e+03 3.80348743e+04
2.39217235e-01 1.79922817e+04 2.02889053e-01 2.41352137e-01 1.00000000e-50 5.17216107e+04
2.78930517e-01 6.65132034e+04 2.52259802e-01 2.88104724e-01 7.03703195e+03 1.25989375e+05
2.99728696e-01 4.29785486e+04 2.84154295e-01 3.54308809e-01 1.00000000e-50 1.17733660e+05
3.58638994e-01 1.10264874e+05 3.19947992e-01 5.23882365e-01 5.99135014e+03 2.14538398e+05
5.36343698e-01 2.83311329e+05 4.39438176e-01 6.62142365e-01 1.00000000e-50 6.35433642e+05
6.74746116e-01 4.16912212e+05 5.77013035e-01 7.81126285e-01 1.00000000e-50 9.69298886e+05
8.08722558e-01 2.99903771e+05 7.09840262e-01 9.25891609e-01 1.00000000e-50 1.30117975e+06
9.59721359e-01 5.97552176e+05 8.42266186e-01 1.10122151e+00 1.00000000e-50 2.03176816e+06
1.15165753e+00 4.41534930e+05 1.00068490e+00 1.31560710e+00 1.00000000e-50 2.69086696e+06
1.38856038e+00 3.04470983e+06 1.18538987e+00 1.56942527e+00 1.00000000e-50 6.99479505e+06
1.69743690e+00 6.69315500e+06 1.43005273e+00 1.84869126e+00 1.00000000e-50 1.47648950e+07
